Family Name,Algo ID,Ratios of input parameter sizes,Time Complexity (Average),Exact Problem Statement?,Algorithm Name,Constants,Derived?,Paper Reference for Constants,Time Complexity Improvement?,"Transition Class",Year,Time Complexity (Worst Only),Randomized?,Approximate?,Exact?,Heuristic-based?,Parallel?,"# of
Processors",Quantum?,GPU-based?,Paper/Reference Link,Other References,Problem Statement,"Algorithm family
parameters",Description of Inputs,n = 1000 value,n = 1000 scale,n = 10^6 value,n = 10^6 scale,n = 10^9 value,n = 10^9 scale,"Starting Complexity",Remarks,Papers for ratio evaluations,Family for Algorithm,Domains
3. Matrix chain multiplication,32,,O(n^2),1,Heejo Lee; Jong Kim; Sungje Hong; and Sunggu Lee,,,,0,0,1997,O(n^2),0,0,1,0,1,,0,0,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.56.222&rep=rep1&type=pdf,,"Matrix chain multiplication (or Matrix Chain Ordering Problem; MCOP) is an
 optimization problem that can be solved using dynamic programming.
 Given a sequence of matrices; the goal is to find the most efficient
 way to multiply these matrices.",,,1000000,Inf,,,,,1,,,4,Combinatorics
3. Matrix chain multiplication,33,,O(log^2 n),1,Prakesh Ramanan,,,,0,0,1996,O(log^2 n),0,0,1,0,1,,0,0,https://epubs.siam.org/doi/abs/10.1137/0225039,,"Matrix chain multiplication (or Matrix Chain Ordering Problem; MCOP) is an
 optimization problem that can be solved using dynamic programming.
 Given a sequence of matrices; the goal is to find the most efficient
 way to multiply these matrices.",,,99,Inf,,,,,1,,,7,Combinatorics
3. Matrix chain multiplication,34,,O (log^3 n),1,Czumaj 1992,,,,0,0,1992,O (log^3 n),0,0,1,0,1,,0,0,,,"Matrix chain multiplication (or Matrix Chain Ordering Problem; MCOP) is an
 optimization problem that can be solved using dynamic programming.
 Given a sequence of matrices; the goal is to find the most efficient
 way to multiply these matrices.",,,989,Inf,,,,,1,,,7,Combinatorics
3. Matrix chain multiplication,35,,O (logn),1,Czumaj 1996,,,,0,0,1996,O (logn),0,1,0,0,1,,0,0,https://pdfs.semanticscholar.org/e8b8/40a921f7967b30ac161b3dd9654b27998ddb.pdf,,"Matrix chain multiplication (or Matrix Chain Ordering Problem; MCOP) is an
 optimization problem that can be solved using dynamic programming.
 Given a sequence of matrices; the goal is to find the most efficient
 way to multiply these matrices.",,,9.965,Inf,,,,,1,,,7,Combinatorics
3. Matrix chain multiplication,36,,O(n),1,Chandra 1975,,,,0,0,1975,O(n),0,1,0,1,0,,0,0,https://www.worldcat.org/title/computing-matrix-chain-products-in-near-optimal-time/oclc/727708286,,"Matrix chain multiplication (or Matrix Chain Ordering Problem; MCOP) is an
 optimization problem that can be solved using dynamic programming.
 Given a sequence of matrices; the goal is to find the most efficient
 way to multiply these matrices.",,,1000,Inf,,,,,1,,,6,Combinatorics
3. Matrix chain multiplication,37,,O(n),1,Chin 1978,,,,0,0,1978,O(n),0,1,0,1,0,,0,0,https://dl.acm.org/citation.cfm?id=359556,,"Matrix chain multiplication (or Matrix Chain Ordering Problem; MCOP) is an
 optimization problem that can be solved using dynamic programming.
 Given a sequence of matrices; the goal is to find the most efficient
 way to multiply these matrices.",,,1000,Inf,,,,,1,,,6,Combinatorics
4. Longest common subsequence,38,,O(mn),1,Wagner and Fischer,,,,1,-,1974,O(mn),0,0,1,0,0,,0,0,https://dl.acm.org/citation.cfm?doid=321796.321811,,The longest common subsequence (LCS) problem is the problem of finding the longest subsequence common to all sequences in a set of sequences (often just two sequences).,,,NA,NA,,,,,4,,,,Combinatorics
4. Longest common subsequence,39,,O( lMI logn),1,Hunt and Szymanski,,,,1,-,1977,O( lMI logn),0,0,1,0,0,,0,0,http://www.cs.ust.hk/mjg_lib/bibs/DPSu/DPSu.Files/HuSz77.pdf,,The longest common subsequence (LCS) problem is the problem of finding the longest subsequence common to all sequences in a set of sequences (often just two sequences).,,,NA,NA,,,,,4,,,,Combinatorics
4. Longest common subsequence,40,,O( lMI logn),1,Mukhopadhyay,,,,0,-,1980,O( lMI logn),0,0,1,0,0,,0,0,https://www.sciencedirect.com/science/article/pii/0020025580900250,,The longest common subsequence (LCS) problem is the problem of finding the longest subsequence common to all sequences in a set of sequences (often just two sequences).,,,NA,NA,,,,,4,,,,Combinatorics
4. Longest common subsequence,41,,O(rmlog(n/r) + rm ),1,Hsu and Du,,,,1,-,1984,O(rmlog(n/r) + rm ),0,0,1,0,0,,0,0,https://www.sciencedirect.com/science/article/pii/0022000084900254,,The longest common subsequence (LCS) problem is the problem of finding the longest subsequence common to all sequences in a set of sequences (often just two sequences).,,,NA,NA,,,,,4,,,,Combinatorics
4. Longest common subsequence,42,,O(mlogn +dlog(2mn/d)),1,Apostolico and Guerra,,,,0,-,1987,O(mlogn +dlog(2mn/d)),0,0,1,0,0,,0,0,https://link.springer.com/article/10.1007/BF01840365,,The longest common subsequence (LCS) problem is the problem of finding the longest subsequence common to all sequences in a set of sequences (often just two sequences).,,,NA,NA,,,,,4,,,,Combinatorics
4. Longest common subsequence,43,,O( IMI +n(r+logn)),1,Kuo and Cross,,,,0,-,1989,O( IMI +n(r+logn)),0,0,1,0,0,,0,0,https://dl.acm.org/citation.cfm?id=74702,,The longest common subsequence (LCS) problem is the problem of finding the longest subsequence common to all sequences in a set of sequences (often just two sequences).,,,NA,NA,,,,,4,,,,Combinatorics
4. Longest common subsequence,44,,O( sigma*n +min{r(n - r ) ; rm } ),1,Rick,,,,1,-,1995,O( sigma*n +min{r(n - r ) ; rm } ),0,0,1,0,0,,0,0,https://link.springer.com/chapter/10.1007%2F3-540-60044-2_53,,The longest common subsequence (LCS) problem is the problem of finding the longest subsequence common to all sequences in a set of sequences (often just two sequences).,,,NA,NA,,,,,4,,,,Combinatorics
4. Longest common subsequence,45,,O( sigma*n + min{sigma*d;rm}),1,Rick,,,,0,-,1995,O( sigma*n + min{sigma*d;rm}),0,0,1,0,0,,0,0,https://link.springer.com/chapter/10.1007%2F3-540-60044-2_53,,The longest common subsequence (LCS) problem is the problem of finding the longest subsequence common to all sequences in a set of sequences (often just two sequences).,,,NA,NA,,,,,4,,,,Combinatorics
4. Longest common subsequence,46,,O(rn+nlogn),1,Hirschberg,,,,1,-,1977,O(rn+nlogn),0,0,1,0,0,,0,0,https://dl.acm.org/citation.cfm?id=322044,,The longest common subsequence (LCS) problem is the problem of finding the longest subsequence common to all sequences in a set of sequences (often just two sequences).,,,NA,NA,,,,,4,,,,Combinatorics
4. Longest common subsequence,47,,O( rmlog(n/m) + rm),1,Hsu and Du (Contour Method),,,,0,-,1984,O( rmlog(n/m) + rm),0,0,1,0,0,,0,0,https://www.sciencedirect.com/science/article/pii/0022000084900254,,The longest common subsequence (LCS) problem is the problem of finding the longest subsequence common to all sequences in a set of sequences (often just two sequences).,,,NA,NA,,,,,4,,,,Combinatorics
4. Longest common subsequence,48,,O( rm + sigma*n + n logsigma),1,Apostolico and Guerra (Contour Method),,,,1,-,1987,O( rm + sigma*n + n logsigma),0,0,1,0,0,,0,0,https://link.springer.com/article/10.1007/BF01840365,,The longest common subsequence (LCS) problem is the problem of finding the longest subsequence common to all sequences in a set of sequences (often just two sequences).,,,NA,NA,,,,,4,,,,Combinatorics
4. Longest common subsequence,49,,O(sigma*n + min{sigma*d; rm } ),1,Chin and Poon,,,,0,-,1991,O(sigma*n + min{sigma*d; rm } ),0,0,1,0,0,,0,0,https://dl.acm.org/citation.cfm?id=105592,,The longest common subsequence (LCS) problem is the problem of finding the longest subsequence common to all sequences in a set of sequences (often just two sequences).,,,NA,NA,,,,,4,,,,Combinatorics
4. Longest common subsequence,50,,O(n(m-r)),1,Nakatsu et. al.,,,,0,-,1982,O(n(m-r)),0,0,1,0,0,,0,0,https://link.springer.com/article/10.1007/BF00264437,,The longest common subsequence (LCS) problem is the problem of finding the longest subsequence common to all sequences in a set of sequences (often just two sequences).,,,NA,NA,,,,,4,,,,Combinatorics
4. Longest common subsequence,51,,O(m(m-r)),1,Miller and Myers,,,,0,-,1985,O(m(m-r)),0,0,1,0,0,,0,0,https://onlinelibrary.wiley.com/doi/abs/10.1002/spe.4380151102,,The longest common subsequence (LCS) problem is the problem of finding the longest subsequence common to all sequences in a set of sequences (often just two sequences).,,,NA,NA,,,,,4,,,,Combinatorics
4. Longest common subsequence,52,,O(n(m-r)),1,Wu et. al.,,,,0,-,1990,O(n(m-r)),0,0,1,0,0,,0,0,https://dl.acm.org/citation.cfm?id=96223,,The longest common subsequence (LCS) problem is the problem of finding the longest subsequence common to all sequences in a set of sequences (often just two sequences).,,,NA,NA,,,,,4,,,,Combinatorics
5. Maximum Flow,53,"V:E:U
0.6:1:1",O(V^2EU),1,Dantzig,,,,1,0,1951,O(V^2EU),0,0,1,0,0,,0,0,,,maximum flow problems involve finding a feasible flow through a flow network that is maximum.,,,7877875424,1,7.87788E+21,1,7.87788E+33,1,2,,,,Combinatorics
5. Maximum Flow,54,"V:E:U
0.6:1:1",O(E^2U),1,Ford & Fulkerson,,,,1,2->3,1955,O(E^2U),0,0,1,0,0,,0,0,http://www.cs.yale.edu/homes/lans/readings/routing/ford-max_flow-1956.pdf,,maximum flow problems involve finding a feasible flow through a flow network that is maximum.,,,56895766.95,138.4615385,5.68958E+16,138461.5384,5.68958E+25,138461538.4,2,,,,Combinatorics
5. Maximum Flow,55,"V:E:U
0.6:1:1",O(V^2E),1,Dinitz,,,,0,0,1970,O(V^2E),0,0,1,0,0,,0,0,https://www.scirp.org/(S(lz5mqp453edsnp55rrgjct55))/reference/ReferencesPapers.aspx?ReferenceID=1690549,,maximum flow problems involve finding a feasible flow through a flow network that is maximum.,,,20482476,384.6153865,,,,,2,,,,Combinatorics
5. Maximum Flow,56,"V:E:U
0.6:1:1",O(E^2LogU),1,Edmonds & Karp,,,,1,0,1972,O(E^2LogU),0,0,1,0,0,,0,0,https://web.eecs.umich.edu/~pettie/matching/Edmonds-Karp-network-flow.pdf,,maximum flow problems involve finding a feasible flow through a flow network that is maximum.,,,1270306.607,6201.55432,2744535051194,2870386158,4.21876E+18,1.86734E+15,2,,,,Combinatorics
5. Maximum Flow,57,"V:E:U
0.6:1:1",O(VELogU),1,Dinitz,,,,0,0,1973,O(VELogU),0,0,1,0,0,,0,0,https://www.scirp.org/(S(lz5mqp453edsnp55rrgjct55))/reference/ReferencesPapers.aspx?ReferenceID=1690549,,maximum flow problems involve finding a feasible flow through a flow network that is maximum.,,,761538,10344.69117,,,,,2,,,,Combinatorics
5. Maximum Flow,58,"V:E:U
0.6:1:1",O(V^3),1,Karzanov,,,,0,0,1974,O(V^3),0,0,1,0,0,,0,0,http://alexander-karzanov.net/Publications/maxflow-acyc.pdf,,maximum flow problems involve finding a feasible flow through a flow network that is maximum.,,,12289485,641.0256755,,,,,2,,,,Combinatorics
5. Maximum Flow,59,"V:E:U
0.6:1:1",O(V^2E^0.5),1,Cherkassky,,,,0,0,1977,O(V^2E^0.5),0,0,1,0,0,,0,0,https://www.sciencedirect.com/science/article/abs/pii/S037722179600269X,,maximum flow problems involve finding a feasible flow through a flow network that is maximum.,,,1044405,7542.931549,,,,,2,,,,Combinatorics
5. Maximum Flow,60,"V:E:U
0.6:1:1",O(VELog^2V),1,Galil & Naamad,,,,1,0,1980,O(VELog^2V),0,0,1,0,0,,0,0,https://link.springer.com/article/10.1007/BF00264254,,maximum flow problems involve finding a feasible flow through a flow network that is maximum.,,,7559564.594,1042.107032,32701134618989,240905262.5,7.54729E+19,104380165152087,2,,,,Combinatorics
5. Maximum Flow,61,"V:E:U
0.6:1:1",O(VELogV),1,Sleator & Tarjan,,,,0,0,1983,O(VELogV),0,0,1,0,0,,0,0,https://www.sciencedirect.com/science/article/pii/0022000083900065,,maximum flow problems involve finding a feasible flow through a flow network that is maximum.,,,761538,10344.69117,,,,,2,,,,Combinatorics
5. Maximum Flow,62,"V:E:U
0.6:1:1",O(VELog(V^2/E)),1,Goldberg & Tarjan,,,,0,0,1986,O(VELog(V^2/E)),0,0,1,0,0,,0,0,https://www.cs.princeton.edu/courses/archive/fall03/cs528/handouts/a%20new%20approach.pdf,,maximum flow problems involve finding a feasible flow through a flow network that is maximum.,,,753550,10454.34998,,,,,2,,,,Combinatorics
5. Maximum Flow,63,"V:E:U
0.6:1:1",O(VE + V^2LogU),1,Ahuja & Orlin,,,,0,0,1987,O(VE + V^2LogU),0,0,1,0,0,,0,0,https://www.researchgate.net/publication/38008130_A_Fast_and_Simple_Algorithm_for_the_Maximum_Flow_Problem,,maximum flow problems involve finding a feasible flow through a flow network that is maximum.,,,545676,14436.91023,,,,,2,,,,Combinatorics
5. Maximum Flow,64,"V:E:U
0.6:1:1",O(VELog(V(LogU)^0.5 / E)),1,Ahuja et al.,,,,1,0,1987,O(VELog(V(LogU)^0.5 / E)),0,0,1,0,0,,0,0,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.86.5093&rep=rep1&type=pdf,,maximum flow problems involve finding a feasible flow through a flow network that is maximum.,,,0.07226045025,109020569295,0.1215822702,6.47946E+22,0.1491085327,6.47946E+22,2,,,,Combinatorics
5. Maximum Flow,65,"V:E:U
0.6:1:1",O(VE + V^2(LogV)^2),1,Cheriyan & Hagerup,,,,0,0,1989,O(VE + V^2(LogV)^2),1,0,0,0,0,,0,0,https://ieeexplore.ieee.org/document/63465,,maximum flow problems involve finding a feasible flow through a flow network that is maximum.,,,3362046,2343.178952,,,,,2,,,,Combinatorics
5. Maximum Flow,66,"V:E:U
0.6:1:1",O(V^3 / LogV),1,Cheriyan et al.,,,,0,0,1990,O(V^3 / LogV),0,0,1,0,0,,0,0,https://link.springer.com/chapter/10.1007/BFb0032035,,maximum flow problems involve finding a feasible flow through a flow network that is maximum.,,,1567523,5025.684104,,,,,2,,,,Combinatorics
5. Maximum Flow,67,"V:E:U
0.6:1:1",O(VE + V^(2.66)LogV),1,Alon,,,,0,0,1990,O(VE + V^(2.66)LogV),0,0,1,0,0,,0,0,,,maximum flow problems involve finding a feasible flow through a flow network that is maximum.,,,15237244,517.0144564,,,,,2,,,,Combinatorics
5. Maximum Flow,68,"V:E:U
0.6:1:1",O(VE + V^2),1,King et al.,,,,0,0,1992,O(VE + V^2),0,0,1,0,0,,0,0,https://dl.acm.org/citation.cfm?id=139438,,maximum flow problems involve finding a feasible flow through a flow network that is maximum.,,,142011,55473.69869,,,,,2,,,,Combinatorics
5. Maximum Flow,69,"V:E:U
0.6:1:1",O(VE (Log(V;V/E) + (LogV)^2) ),1,Phillips & Westbrook,,,,1,0,1993,O(VE (Log(V;V/E) + (LogV)^2) ),0,0,1,0,0,,0,0,https://dl.acm.org/citation.cfm?id=167201,,maximum flow problems involve finding a feasible flow through a flow network that is maximum.,,,4524418.767,1741.190599,26027057526546,302680217,6.51599E+19,120900653858598,2,,,,Combinatorics
5. Maximum Flow,71,"V:E:U
0.6:1:1",O(E^1.5 Log(V^2/E) LogU),1,Goldberg & Rao,,,,1,3->4,1997,O(E^1.5 Log(V^2/E) LogU),0,0,1,0,0,,0,0,https://dl.acm.org/citation.cfm?id=290181,,maximum flow problems involve finding a feasible flow through a flow network that is maximum.,,,460753.7601,17097.79953,75582472025,104228866945,5.81778E+15,1.3541E+18,2,,,,Combinatorics
